screen_name,created_at,location,state_abb,state,source,hashtags,text
FrostedBlog,2020-04-21 22:01:49,Utah,UT,Utah,Twitter for iPad,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
impulsivewoman,2020-04-21 22:01:49,"Manhattan, NY",NY,New York,Twitter for iPhone,Coronavirus,"Millions of Americans who watch the White House #Coronavirus briefings see quite a different @realDonaldTrump than the Democrats and the media portray.

They see a leader who is obviously in command of thousands of facts, figures and details!

https://t.co/QZTt4h2eRa"
ImmCivilRights,2020-04-21 22:01:49,Tennessee,TN,Tennessee,Twitter for iPhone,,"60 year old man, just six weeks from his release date dies of COVID in Andrew Cuomo's prison. https://t.co/99Mi0mOXQ4"
ResisterChic,2020-04-21 22:01:49,"Sandy Springs, GA",GA,Georgia,Twitter for iPhone,,"Coronavirus Deaths: U.S. Tops List Of Countries, Surpasses Italy : Coronavirus Live Updates : NPR

⁦@realDonaldTrump⁩ just opened his COVID-19 briefing with a LIE saying US has least number of deaths! 

The US has the MOST COVID-19 deaths at 44,342 https://t.co/UYBWzL4I4S"
CroftyLara25,2020-04-21 22:01:49,"New York, USA",NY,New York,Twitter for Android,,Marsha Blackburn Will Introduce ‘Stop COVID Act’ to Allow Americans to Sue China for Damages https://t.co/wS4MiHOlqS https://t.co/rDJbh3Tnak
esacconcia,2020-04-21 22:01:49,"North Carolina, USA",NC,North Carolina,Twitter for iPhone,,"We're proud to partner with WNCW to bring you our in depth coronavirus coverage. Listen here. 
https://t.co/9C5t9Xh0ah https://t.co/jfIofffR2O"
maggzcampos,2020-04-21 22:01:48,"Las Vegas, NV",NV,Nevada,Twitter for iPhone,,COVID-19 hearing some States are opening public businesses as early as Friday. https://t.co/UQZl2wdRh4
ChN35633525,2020-04-21 22:01:48,"Boca Raton, FL",FL,Florida,Twitter Web App,,Marsha Blackburn Will Introduce ‘Stop COVID Act’ to Allow Americans to Sue China for Damages https://t.co/wS4MiHOlqS https://t.co/rDJbh3Tnak
RocknForever1,2020-04-21 22:01:48,"Nevada, USA",NV,Nevada,Twitter for iPhone,USNavy,"Stay up to date. Click below for all #USNavy COVID-19 updates in one place including video messages and statements from Navy leaders, Navy news articles, links to NAVADMINs and ALNAVs, and other resources.

Navy Live Blog: https://t.co/SMWdOJk6vT https://t.co/OHUUigtdZH"
irenatfh,2020-04-21 22:01:48,"Menlo Park, CA",CA,California,Twitter Web Client,,"Tune in to the second episode of @mitcnc podcast MIT Catalysts' series on MIT alumni on the front lines of the COVID-19 pandemi. @JuliaYooMIT gets three perspectives from Drs. Steven Hao, Annick Aubin-Pouliot and Mark DuLong https://t.co/fJoZqsQY2s"
AValenteMS,2020-04-21 22:01:48,"Shrewsbury, NJ",NJ,New Jersey,Hearsay Social,,COVID-19 is causing severe economic uncertainty and fear in the financial markets. The impact on your portfolio may be significant. Let us analyze your risk and model changes to help keep your goals on track. https://t.co/mim7e9RGzb
jackiebbenjamin,2020-04-21 22:01:48,"Harriman, TN",TN,Tennessee,Twitter for iPhone,,"Gov. Bill Lee, last week: Any Tennessean who wants a free COVID-19 test will be able to get one starting this weekend.

Knox Co., today, after two days of testing: We are suspending free testing starting tomorrow because we're out of testing supplies."
ProTraderTexas,2020-04-21 22:01:47, Texas,TX,Texas,Twitter Web App,,"Iran: “Islamic medicine specialist” says camel urine cures coronavirus🔥
An “Islamic Medical Specialist” is encouraging people to drink camel urine, claiming it not only cures COVID-19, but lung disease and asthma as well.
Too bad it can’t cure terrorism😳 https://t.co/93YitAI6WU"
reverendentity,2020-04-21 22:01:47,"Wichita, Kansas",KS,Kansas,Twitter Web App,,"WI DHS: 19 People Who Voted, Worked Election Have Since Tested Positive For COVID https://t.co/nl5fzlJq9V https://t.co/ib1pbHAwGj"
texasrepublik,2020-04-21 22:01:47,Texas,TX,Texas,Twitter for iPhone,,"Texas, with a population of 29,000,000 and 477 covid-19 deaths, needs to allow every business to open back up NOW, while still implementing safe practices like social distancing, washing hands, and wearing masks."
DLNewspapers,2020-04-21 22:01:47,"Detroit Lakes, Minnesota",MN,Minnesota,SocialFlow,,"In first for Sanford Health, Fargo COVID-19 patient injected with plasma treatment https://t.co/7WzJBEKOlG https://t.co/sH6BMour5l"
ifiwasrichard,2020-04-21 22:01:46,"Wisconsin, USA",WI,Wisconsin,Twitter for iPhone,,".@GovEvers in tele-press conference: ""This is a power grab by the Legislative Republicans who are telling 4,600+ in the state of Wisconsin who have contracted COVID-19 and the families of the 242 people who have died, we don’t care about you -- we care about our political power."""
GregBoll,2020-04-21 22:01:46,"Northern Great Plains, USA",,,Twitter Web App,,"New by @afbranco 

If we don’t get back to work, poverty from an economic collapse due to the coronavirus will kill more people than COVID-19 ever will. Hey, if it saves but one life, Right? https://t.co/GVNsbt0gs0"
MooreSaino,2020-04-21 22:01:46,"Kings Mountain, NC",NC,North Carolina,Twitter for iPhone,,I’m grateful for Taiwan’s generous donation of masks to Massachusetts to help fight COVID-19. And I urge President Trump to fully use the DPA so we don’t have to rely on foreign assistance for medical supplies &amp; can return the favor to others in need. https://t.co/2K62l4X2zM
syedareports,2020-04-21 22:01:46,"Dallas, TX",TX,Texas,Twitter for iPhone,,".@JudgeClayJ notes the increase in COVID-19 cases has slowed over the past several days, from the triple digits to 90 new cases today. In the coming days, “I’m praying those numbers stay around 90 or get lower,” Jenkins says."
groth_e,2020-04-21 22:01:46,"Spokane, WA",WA,Washington,Twitter for iPhone,"Colts, Cowboys","CB Javaris Davis (@javariusdavis1) ran a 4.39 on a tight hamstring &amp; has been popular.

Combine formals: #Colts, #Cowboys, #Giants, #Falcons &amp; #Rams.

Private workout w/ the #Bengals. COVID-19 ex'd out mtgs w/ the #Jets, #Dolphins, #Patriots, #Lions, #Ravens, #Chiefs &amp; #Raiders"
nothankyou01,2020-04-21 22:01:45,"Texas, USA",TX,Texas,Twitter for iPhone,,"""It looked like a parallel world. KFC sold food from a window, a cafe was open next door, people walked by, as if there were no coronavirus epidemic.”

Russian fatalism creates dire consequences for the country.
https://t.co/f4cxq3yjxh"
Ephraimsdottir,2020-04-21 22:01:45,"Los Angeles, CA",CA,California,Twitter Web App,,"NEW: In interview w/me, CDC director warns second wave of coronavirus is likely to be worse because it will coincide with flu season. Look how overwhelmed health system is in this 1st covid-19 wave. Now imagine 2 respiratory outbreaks at the same time. https://t.co/ftPnleE4VP"
Marble772,2020-04-21 22:01:45,"Schenectady, NY",NY,New York,Twitter for Android,"Humanicide, OneTrueAlphaPowerSource",#Humanicide COVID-19 doesn't tell apart by race. It's an initial strike against #OneTrueAlphaPowerSource that is a duty to use no fossil fuels whatsoever. I do not posit that you are wrong about the  🦠🔛👥 GOP not caring about the lives of brown people. They don't care about 👫.
suzanephxaz,2020-04-21 22:01:45,"Phoenix,AZ, USA",,,Twitter for iPhone,,"More deaths among COVID patients treated with hydroxychloroquine
 https://t.co/IYAdZuAFkY"
frenchiema,2020-04-21 22:01:45,"California, USA",CA,California,Twitter for iPhone,coronavirus,"Florida hosted spring break &amp; winter solstice during the #coronavirus pandemic. 
Despite having a large elderly population &amp; never locking down their state—hospital bed space has INCREASED &amp; they maintain a very low death rate. 

Time to #ReopenAmerica!

https://t.co/loEVnTGUhV"
DiepFlapBreast,2020-04-21 22:01:44,"San Antonio, Texas",TX,Texas,Twitter for iPhone,plasticsurgery,A mixed bag next week at #plasticsurgery Journal Club. Real treats from timing the surgeons/residents in #breastreconstruction to of course a paper on #covid_19. However the real gem might be from @RCHMelbourne on #craniofacial dermal cysts.Zoom in 29/04 or wait for the #podcast https://t.co/giBd6CkcuS
suv49,2020-04-21 22:01:44,"Michigan, USA",MI,Michigan,Twitter for iPad,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
connie183762092,2020-04-21 22:01:44,"Chattanooga, TN",TN,Tennessee,Twitter for iPhone,,Everyone seeking to understand the extent of Trump’s botched response to COVID-19 must recognize that Trump wasted one of the country’s best weapons to fight a pandemic: The Strategic National Stockpile of protective equipment. https://t.co/5ABsuqCZnr
ShirleySharona2,2020-04-21 22:01:44,Gotham formerly the USA,,,Twitter for Android,,"My heart earnestly goes out to the people of Florida, Georgia, South Carolina and Tennessee. You've been lied to about the prevalence, contagiousness, and lethality of COVID-19 by state officials acting for their own political profit. You're headed for a major outbreak. #StayHome https://t.co/3D7wjagDpb"
TheAfricaMentor,2020-04-21 22:01:44,"Texas, USA",TX,Texas,Twibble.io,"business, africabiz, africa",Stats SA warns of #business closures due to Covid-19 lockdown  IOL https://t.co/oR2yfAeipe via @theafricamentor #africabiz #africa https://t.co/DSaVHFQ95X
trust_in_libra,2020-04-21 22:01:43,"Omaha, NE",NE,Nebraska,Twitter for Android,,"Confirmed COVID-19 cases in Nebraska:

5 weeks ago: 18
4 weeks ago: 50
3 week ago: 145
2 week ago: 409
1 week ago: 814
now: 1,648

Nebraska never issued a stay-at-home order and shopping centers are already planning to reopen.

To save lives, Nebraskans must choose to stay home."
why_wolf,2020-04-21 22:01:43,Oregon,OR,Oregon,Twitter for Android,,"New: Reporter Jan Ransom’s father was the fourth resident of his nursing home to get COVID-19. Nobody told her about the first, so she couldn’t move him before he got sick. “I think that’s very unfair,” her father told her a week before he died. https://t.co/HVETNKaqmM"
SRVUSD1,2020-04-21 22:01:43,"Danville, CA",CA,California,Twitter Web App,,Children may misinterpret what they hear and can be frightened about something they do not understand. Answer questions &amp; share facts about COVID-19 in a way that your child can understand. https://t.co/mI7mEh0Yeu
justsayin60,2020-04-21 22:01:43,"Washington, USA",WA,Washington,Twitter for Android,,"I know COVID-19 is causing many people to feel anxious about what the future holds or lonely during this time of social distancing — and that's okay, just know that you're not alone. I've asked my friend, Dr. Vivek Murthy, to share a few tips on how to get through this: https://t.co/Hx9TMlF2zP"
SarahKZhou,2020-04-21 22:01:43,"Orlando, Florida, USA",FL,Florida,Twitter for iPhone,,"If you receive a text message saying “Someone who came in contact with you tested positive or has shown symptoms for COVID-19 &amp; recommends you self-isolate/get tested,” DO NOT click the link. This is a scam. https://t.co/P2a57N5G6V"
MariaCouto1991,2020-04-21 22:01:43,"Victoria, TX",TX,Texas,Twitter for iPhone,,"I know COVID-19 is causing many people to feel anxious about what the future holds or lonely during this time of social distancing — and that's okay, just know that you're not alone. I've asked my friend, Dr. Vivek Murthy, to share a few tips on how to get through this: https://t.co/Hx9TMlF2zP"
AmNat1571,2020-04-21 22:01:43,"Billings, MT",MT,Montana,Twitter for iPhone,,"It was an honor to meet with @VP Mike Pence today in Madison. I commend the Trump admin for their leadership in this battle against covid-19. In Congress, I’ll serve as an ally to President @realDonaldTrump to help protect the safety of WI families and jumpstart our economy. https://t.co/hqSRYo7B8Q"
IrishLass2157,2020-04-21 22:01:42,Michigan,MI,Michigan,Twitter for iPhone,,"Well, sure, Trump’s ‘miracle cure’ actually killed people... but once they’re dead, they aren’t COVID-19 patients anymore amirite? https://t.co/mbNEKh7B3F"
ryanmlowery,2020-04-21 22:01:41,"Albuquerque, NM",NM,New Mexico,Twitter Web App,,"Breaking: Seven new NM COVID-19 deaths reported Tuesday, including four more residents of the La Vida Llena long-term care facility in Albuquerque. The state's total number of deaths is now 65.

Officials announced 103 positive cases, for a total of  2,072 cases."
Deana24738391,2020-04-21 22:01:41,"Asheville, NC",NC,North Carolina,Twitter for Android,,"So, Wisconsin lined 7 cases of COVID to the election a few weeks ago. This means 7 people got the virus who also voted. Not that they got it from voting. But the media will try to scare you into accepting mail in voting! Kiss America good bye if that happens."
scobey_snacks,2020-04-21 22:01:41,"New York, NY",NY,New York,Twitter for Android,,State of Georgia announces it is re-opening while they have 28-3 lead on COVID-19.
FabulousLVNV,2020-04-21 22:01:41,"Las Vegas, NV",NV,Nevada,Twitter for iPhone,StayHomeSaveLives,I’d rather have cabin fever and be late on a few bills than have COVID-19. #StayHomeSaveLives
RetiredNYCPD,2020-04-21 22:01:41,"City of Yonkers, NY",NY,New York,Twitter for iPhone,COVID19,The National FOP Is Taking The Fight To #COVID19 — Make sure to check out our new COVID-19 Information website with important resources for law enforcement! Click here to visit ➡️ https://t.co/J6m0Es4oIt https://t.co/TZXd0ksLM0
piggygal98,2020-04-21 22:01:40,"Chapel Hill, NC",NC,North Carolina,Twitter for iPhone,,i am tasked with reading the thousands of COVID-19 constituent comments for my internship and today i really had to see the words “it’s not my responsibility to accommodate immunocompromised individuals” I HATE IT HERE!!!!!
_rickymedrano6,2020-04-21 22:01:40,"Kingsville, TX",TX,Texas,Twitter for iPhone,,"Global COVID-19 cases top 2.5 million as a U.N. agency warns the pandemic could cause famines of ""biblical proportions.""

Tracking the virus: https://t.co/XhbNcpxIZO https://t.co/V5NF6tMPKx"
Melissacaton4,2020-04-21 22:01:40,"North Carolina, USA",NC,North Carolina,Twitter for Android,coronavirus,"Florida hosted spring break &amp; winter solstice during the #coronavirus pandemic. 
Despite having a large elderly population &amp; never locking down their state—hospital bed space has INCREASED &amp; they maintain a very low death rate. 

Time to #ReopenAmerica!

https://t.co/loEVnTGUhV"
startchangeri,2020-04-21 22:01:40,"Rhode Island, USA",RI,Rhode Island,Twitter for iPad,,"@MikeWChip @RIHouseGOP @JGrybowski Considering nature of how the 1.25 bil to small states is expected to be allocated , the idea of only paying for COVID related expenditures would require the creation of COVID related programming that would allow for the dollars to be used according to guidance w/in dept budgets https://t.co/CnKjtxEjyS"
nancy73gg,2020-04-21 22:01:40,"Austin, TX",TX,Texas,Twitter for iPhone,coronavirus,"Florida hosted spring break &amp; winter solstice during the #coronavirus pandemic. 
Despite having a large elderly population &amp; never locking down their state—hospital bed space has INCREASED &amp; they maintain a very low death rate. 

Time to #ReopenAmerica!

https://t.co/loEVnTGUhV"
Together_UW,2020-04-21 22:01:40,"Seattle, WA",WA,Washington,Twitter for iPhone,,"Thanks to the efforts of Dr. Naomi Shike, the Paul G. Allen Foundation has awarded $2 million to the UW Medicine Emergency Response Fund For COVID-19 in order to provide two van-based testing sites, one roaming and one home-based at Pioneer Square."
SusanCarver19,2020-04-21 22:01:40,"South Carolina & Oregon, USA",,,Twitter for iPhone,,"""NIH Panel Recommends Against Drug Combination Trump Has Promoted For COVID-19""
https://t.co/eUlBuN3zrP"
Alynes95,2020-04-21 22:01:40,"Houston, TX",TX,Texas,Twitter for iPhone,,COVID-19 hearing some States are opening public businesses as early as Friday. https://t.co/UQZl2wdRh4
wrhdpj,2020-04-21 22:01:40,"Phoenix, Arizona",AZ,Arizona,Twitter Web Client,,WHO warns that few have developed antibodies to Covid-19 https://t.co/MKFyzLg47A
10News,2020-04-21 22:01:39,"San Diego, CA",CA,California,TweetDeck,,"San Diego County saw an increase of 15 deaths Tuesday, bringing total deaths to 87 throughout the region https://t.co/09FSOhHz6j"
BelisaDavis,2020-04-21 22:01:39,"Texas, USA",TX,Texas,Twitter for iPhone,,"What's with all these ""news folks"" claiming they have the virus yet seen walking around their neighborhoods without masks, going into stores and getting in altercations with neighbors ? George Stephanopoulos Walking in the Hamptons After COVID-19 Diagnosis https://t.co/cAhl4LK8pf"
MichaelShurkin,2020-04-21 22:01:39,"Washington, DC",WA,Washington,Twitter Web App,,Overheard: So are we calling these armed Covid-19 protestors the “Flu Klux Klan?” Because if not that sounds like a missed opportunity.
DJabin_MACo,2020-04-21 22:01:39,"Annapolis, MD",MD,Maryland,Twitter for iPhone,"COVIDー19, MDPolitics",.@GovLarryHogan Looks to Move Forward with Plan to Use Federal Labs for #COVIDー19 Testing #MDPolitics https://t.co/3xRhUTdfsu https://t.co/R6NVnP8baE
brycegustafson,2020-04-21 22:01:39,"Los Angeles, CA",CA,California,Twitter for iPhone,,"⭐️ Draft-A-Thon LIVE ⭐️️

A three-day, star-studded livestream to raise awareness and donations for COVID-19 relief!

Starts Thursday at 7:30pm ET.
Learn more at: https://t.co/t5JVKzjd4J #DraftAThon https://t.co/PtZAy2wiWB"
thatplacejr,2020-04-21 22:01:39,"Indianapolis, IN",IN,Indiana,Twitter for iPhone,,@SterlingWhitt @jaketapper Yes if I had covid 19 I’d be asking my doc for this treatment.
_taylorhudak,2020-04-21 22:01:38,USA,,,Twitter for iPhone,COVID19,"My latest:

Mass Shootings and Mental Health: A Clinical Psychologist Explains the Effects of #COVID19 Lockdown

With Dr @LissaKJohnson 

https://t.co/W7OOYCIOM8"
nbbrdrf,2020-04-21 22:01:38,"Nevada, USA",NV,Nevada,Twitter for iPhone,"LIVE, COVID",#LIVE: President @realDonaldTrump and #COVID-19 Task Force Briefing via @RSBNetwork https://t.co/81Zovlcn7t
cityofissaquah,2020-04-21 22:01:38,"Issaquah, WA",WA,Washington,Twitter Web App,,"Eastside small business owners, nonprofit leaders, and sole proprietors now have access to a new COVID-19 business support program — (re)STARTUP425 — through a collaborative effort between Bellevue, Kirkland, Issaquah, Redmond, and Renton. More info here: https://t.co/uy2mQWSIos https://t.co/8XunX8pYlE"
Unicornrider87,2020-04-21 22:01:38,"Port Orchard, WA",WA,Washington,Twitter for iPhone,COVID,"When I wonder how long we’ll be in #COVID lockdown, I think of my:

-Wife, then 16, hiding for weeks in Libya in 1967, as mobs searched for Jews

-Mom, as a teenager, fleeing Nazis in France

-Dad fighting Nazis 1939-1945

They had it worse. I’m always inspired by their strength."
skezix,2020-04-21 22:01:38,Crazy Florida,FL,Florida,Twitter for iPhone,,Everyone seeking to understand the extent of Trump’s botched response to COVID-19 must recognize that Trump wasted one of the country’s best weapons to fight a pandemic: The Strategic National Stockpile of protective equipment. https://t.co/5ABsuqCZnr
JeanCDean1,2020-04-21 22:01:37,"Texas, USA",TX,Texas,Twitter for iPhone,,"@RonHarrisSC Ron, I thought you knew...@SenSchumer’s new COVID-19 mask! He’s looking for donkey asses! JS https://t.co/0Kfzp6ov1S"
phillyeaglesfa1,2020-04-21 22:01:37,"Pennsylvania, USA",PA,Pennsylvania,Twitter for Android,,"Sheepdog's,  
 Senate passes $484B COVID package 
Lord Lets See If @SpeakerPelosi Can put Her Ice Cream Away &amp; Show Up! 
 Pelosi's a BOIL On The Rear Of Liberty! 
 PLZ COMMENT!!
#IFBP 
#KAG2020
#209ACEMAGA45 
 https://t.co/y2AyMREZtD"
eternal7101,2020-04-21 22:01:37,"New Jersey, USA",NJ,New Jersey,Twitter for iPhone,,"I know COVID-19 is causing many people to feel anxious about what the future holds or lonely during this time of social distancing — and that's okay, just know that you're not alone. I've asked my friend, Dr. Vivek Murthy, to share a few tips on how to get through this: https://t.co/Hx9TMlF2zP"
Bighairycat28,2020-04-21 22:01:37,"Wisconsin, USA",WI,Wisconsin,Twitter Web App,,"@MichaelCoudrey Zero hedge reported the other day that the 2008 Nobel prize winner in medicine said he found fragments of hiv in the Sars cov 2 virus that causes covid 19

https://t.co/6biEIaKbil"
JMARK_Support,2020-04-21 22:01:36,"Springfield, MO",MO,Missouri,AgoraPulse Manager,"coronavirus, lightinthedarkness, COVID19, uplifting, positivity","When you look hard enough in the darkness, you can always find light. With so much negativity and tragedy going on in the world, we wanted to share some positivity and spread some joy.

#coronavirus #lightinthedarkness #COVID19 #uplifting #positivity https://t.co/ysmv7DdkZj"
jeremymac23,2020-04-21 22:01:36,Oregon,OR,Oregon,Twitter for iPhone,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
ProfCBekhor,2020-04-21 22:01:36,"La Verne, CA",CA,California,Twitter for iPhone,"TipTuesday, fraud, scams","#TipTuesday Protect yourself from COVID-19 #fraud and #scams. Never send money to people you meet online, never provide payment info without verifying the recipient’s identity, and never share personal info that scammers could use to access your accounts. https://t.co/hXr1EjdFEp"
steakfromwv,2020-04-21 22:01:36,"Brooklyn, NY",NY,New York,Twitter Web App,,This poll makes clear why Trump is trying to pick a fight about immigration and distract from his failure to make COVID tests available. https://t.co/TcWzciAPtU https://t.co/Q5L0vxUK5a
atkinastarling,2020-04-21 22:01:35,"Ft Sill, OK",OK,Oklahoma,Twitter for Android,,"So why the surge in USA deaths today?

Simple, new CDC guidelines gave hospitals carte blanche to code any sniffle as COVID-19 with no testing required. They get paid a fortune for COVID-19 cases.

Follow the money.

The numbers are fiction."
dbleitzsey,2020-04-21 22:01:35,"South Carolina, USA",SC,South Carolina,Twitter for Android,,Covid claims Columbia icon https://t.co/2pG2Nf2aKU
1hokiegal,2020-04-21 22:01:35,Virginia,VA,Virginia,Twitter for Android,,"New this AM: Stacey Abrams and Andrew Yang announced Project 100, a campaign to provide direct cash payments to SNAP Families during the Covid crisis, with celebrity backers Ariana Grande, Rihanna, Halsey, Stephen Colbert, Julia Louis-Dreyfus and others. https://t.co/fFE2vvA9Ab"
TownofHHI,2020-04-21 22:01:35,"Hilton Head Island, SC",SC,South Carolina,Hootsuite Inc.,,"DHEC today announced 172 new cases of the novel coronavirus COVID-19, and 11 additional deaths.

This brings the total number of people confirmed to have COVID-19 in South Carolina to 4,608 and those who have died to 135.

Release: https://t.co/XYspAbf1AM https://t.co/0KwFh3VnCj"
nishhhaaa_,2020-04-21 22:01:35,"Riverside, CA",CA,California,Twitter for iPhone,,"seeing protesters carry signs like “COVID 19 ISNT REAL” or “THE MEDIA IS THE PROBLEM NOT THE VIRUS” literally leaves me speechless.... I didn’t know people could be so dumb, yet here we are"
eriklemusre,2020-04-21 22:01:34,"Redlands, CA",CA,California,dlvr.it,"ErikLemusRealtor, TheRealHouseHunterofLosAngeles",Chip and Joanna Gaines’s Magnolia Network Launch Delayed Due to COVID-19 Pandemic https://t.co/c2fek13wlb #ErikLemusRealtor #TheRealHouseHunterofLosAngeles https://t.co/gBtOhugQUo
chasmccabe,2020-04-21 22:01:34,"Boston, MA",MA,Massachusetts,Twitter Web App,,"Before you head outside, check out these guidelines from the @CDC to keep yourself and your community safe and healthy during COVID-19. #everyonedeservesapark https://t.co/3KXQ142fEB"
PscifiloverB,2020-04-21 22:01:34,"Huntington Beach, CA",CA,California,Twitter Web App,,"After 9 days in a coma and having to relearn how to walk, covid-19 survivor tells MAGAt protesters they should stand down and take coronavirus seriously. 
https://t.co/7D5g7dpLmE"
alycialeah,2020-04-21 22:01:34,Texas,TX,Texas,Twitter for iPhone,,"This handy guide will help you to quickly and effectively understand what celebrities, neighbors, and even politicians actually mean when they use these common phrases.

https://t.co/WfYYn10Gdq https://t.co/B7VcRGkz9J"
TWILBERD,2020-04-21 22:01:33,Southwest Michigan,MI,Michigan,Twitter for iPad,,Overheard: So are we calling these armed Covid-19 protestors the “Flu Klux Klan?” Because if not that sounds like a missed opportunity.
RevuuHome,2020-04-21 22:01:33,"San Franciso, CA",CA,California,dlvr.it,,Chip and Joanna Gaines’s Magnolia Network Launch Delayed Due to COVID-19 Pandemic https://t.co/Rx4dVTGUIp https://t.co/f3SAoQq3Pv
