screen_name,created_at,location,state_abb,state,source,hashtags,text
ka_butche,2020-04-21 22:24:58,"Houston, TX",TX,Texas,Twitter for iPhone,,Our faculty and students have proved resilient as we’ve moved hundreds of classes online. Hear how some of our professors are adapting to the changes: https://t.co/VF5s9o9Q1O https://t.co/O7lFSQmLaQ
mooebon,2020-04-21 22:24:58,"New Jersey, USA",NJ,New Jersey,Twitter Web App,,"@BrianKarem @Yamiche @PeterAlexander @kaitlancollins
Help this Political Prisoner today.
Some have asked about Flynn, Stone, Manafort, and even Tiger King...I mean WTF!? Cohen was released due to COVID-19, why was #RealityWinner denied? 
#FreeRealityWinner Ask him to free her!"
sam_alberti,2020-04-21 22:24:57,"Chapel Hill, NC",NC,North Carolina,Twitter for iPhone,,The first person Trump has wished well during his briefings are not the families devastated by COVID-19... but instead Kim Jong Un...
grantstern,2020-04-21 22:24:57,"Miami, FL",FL,Florida,Twitter Web App,,GOP senator who pushed 'miracle' drug to treat coronavirus rejects study showing it actually may lead to increased deaths https://t.co/UXnY0kJ2en
MystiKate14,2020-04-21 22:24:57,"North Carolina, USA",NC,North Carolina,Twitter for iPhone,,"This morning nurses protested for PPE - in front of the White House.

They read the names of healthcare workers who have given their lives trying to save others from COVID-19.

And the list felt endless.

This situation is unacceptable. We need to support our nurses. Now. https://t.co/jKl4JpKP3L"
artemis_crow,2020-04-21 22:24:57,"Salem, NH",NH,New Hampshire,Twitter Web App,,"@mmpadellan @cliveboyce77 REPUBLICAN PLATFORM 2020

will still try to defend zygotes
while letting fully grown humans die of COVID

got it! https://t.co/6hvhZ3yeNj"
MFrance923,2020-04-21 22:24:57,"California, USA",CA,California,Twitter for iPhone,,"""Virus-Spreading Sociopaths"" -- also known as ""Trump supporters.""

https://t.co/kiqsBoijG6"
NEOMD71,2020-04-21 22:24:57,Ohio,OH,Ohio,Twitter for iPhone,,"On April 16, the day after Governor Cuomo was on Chris's show to give him a pass about passing COVID-19 on to his wife Christina, he extended NY's PAUSE for another month. His brother is literally driving around and being outside with other people *WHILE ACTUALLY HAVING COVID.*"
vickie_mcleod,2020-04-21 22:24:57,"Dunn, NC",NC,North Carolina,Twitter for iPhone,,Do you think Michigan Gov. Gretchen Whitmer has done a good job navigating the state through the COVID-19 outbreak?
Deinnara,2020-04-21 22:24:57,"Ohio, USA",OH,Ohio,Twitter Web App,HarvardHealth,"Intimacy, sex, and COVID-19. https://t.co/4IqAA2KuWt #HarvardHealth https://t.co/BbFsxJicVW"
wdsu,2020-04-21 22:24:56,"New Orleans, LA",LA,Louisiana,TweetDeck,"Tulane, nola, onlynola, covid19","DO SOME GOOD: #Tulane A.B. Freeman Business School undergraduate Philip Brossy collected 1,700 pounds of food from fellow students as they moved out of their dorms due to COVID-19. The food was donated to @2ndHarvestGNOA!
📷: A.B. Freeman Business School
#nola #onlynola #covid19 https://t.co/7DnnXoUJEc"
alittleleader,2020-04-21 22:24:56,"Chapel Hill, NC",NC,North Carolina,Twitter for iPhone,,This action legitimately has no rational COVID-related purpose. He just wanted to mess with immigration and upset people. 🙃 https://t.co/hNDPzC5K1k
ChrisBH87,2020-04-21 22:24:55,"NY, NY",NY,New York,Twitter Web App,,"Thanks @OllieMcAteer and @CampaignLiveUS , some info on how we are making work RN, and a couple hot takes. 

https://t.co/tflnC9dl8j"
Beamo23,2020-04-21 22:24:55,"Fort Collins, Colorado",CO,Colorado,Twitter for Android,,"Georgia governor set to announce new COVID-19 treatment called, ""Hugs not Drugs!"""
Ladi_Nina,2020-04-21 22:24:55,"Harlem, NY",NY,New York,Twitter Web Client,,Cuomo says state to test thousands for Covid-19 antibodies https://t.co/hr83t9FmSc
PrezPelosi,2020-04-21 22:24:55,"District of Columbia, USA",,,Twitter for iPhone,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
vintageb73,2020-04-21 22:24:55,"Seattle, WA",WA,Washington,Twitter for Android,,"Let’s talk about the covid timeline vis à vis Bill Barr, the human coronavirus wreaking havoc on the Justice Dept &amp; our republic.

[THREAD] https://t.co/JIvOci8PaH"
ThisIsPivotal,2020-04-21 22:24:55,"San Jose, CA",CA,California,Twitter Web App,,"Thank you @AcerAmerica for your continued support of Pivotal! Thanks to you, young people from foster care are receiving the critical resources they need as they navigate these changing times. 

Read more about Acer's support: 
https://t.co/zYVyWGL2UJ https://t.co/p39SHM0N3Y"
Pete62883136,2020-04-21 22:24:54,"Key West, FL",FL,Florida,Twitter for iPhone,,"....to State/Local Governments for lost revenues from COVID 19, much needed Infrastructure Investments for Bridges, Tunnels, Broadband, Tax Incentives for Restaurants, Entertainment, Sports, and Payroll Tax Cuts to increase Economic Growth."
clairekug,2020-04-21 22:24:54,"Springfield, IL",IL,Illinois,Twitter for iPhone,covid,"@GovPritzker PLEASE DONT LIFT THE STAY AT HOME ORDER TOO SOON
My SISTER IS SUFFERING FROM #covid ACTUAL SUFFERING- NOT JUST BEING INCONVENIENCED
SHE IS A HEALTH CARE WORKER AS AM I
DO NOT LIFT THE ORDER
DO NOT LIFT THE ORDER"
LazuliLady,2020-04-21 22:24:54,Broomtar’s Ohio USA,OH,Ohio,Twitter for iPhone,,"Study finds no benefit, higher death rate in patients taking hydroxychloroquine for Covid-19 - CNN https://t.co/dhw67cDd9m"
noellenikpour,2020-04-21 22:24:54,USA,,,Twitter Web App,COVID19,"Quest Diagnostics starting #COVID19 antibody testing, using Abbott and PerkinElmer’s EUROIMMUN platforms. Capacity of 70k tests/day this wk, expects to reach 150k/day in early May. Patients can have blood drawn at Quest patient centers, but need dr’s order https://t.co/tNgsbMlvJ4"
rojoroach,2020-04-21 22:24:54,"Brooklyn, NY",NY,New York,Twitter for iPhone,,"Speaking as somebody who survived stage 4 cancer &amp; is now staying at home so I don't get this thing: 

Fuck you William Barr. https://t.co/n3uxBOmJMO"
jdistaso,2020-04-21 22:24:53,"Manchester, NH",NH,New Hampshire,TweetDeck,"COVID19, nhsen, nh01, nh02, nhpolitics, WMUR","Now on @WMUR9 - NH congressional delegation praises @USSenate passage of $480B #COVID19 relief package; US House to vote Thursday on plan to help small businesses, hospitals &amp; to ramp up testing. Plan details here. #nhsen #nh01 #nh02 #nhpolitics #WMUR   https://t.co/Z7Bw5ZahuB https://t.co/AAUAwmjx6q"
SadBrownWoman,2020-04-21 22:24:53,"Colorado, USA",CO,Colorado,Twitter for Android,,My friend sent me these from Manhattan yesterday. These are freezer truck morgues to deal with the dead from COVID-19. https://t.co/Rb3rmuj3bx
Rpreet23,2020-04-21 22:24:53,"Dallas, TX",TX,Texas,Twitter for iPhone,,State of Georgia announces it is re-opening while they have 28-3 lead on COVID-19.
MDresaj,2020-04-21 22:24:53,"Michigan, USA",MI,Michigan,Twitter for iPhone,,"if she says covid is the biggest tragedy to happen in her lifetime she’s too young for u bro

sponsored by « i have faint memories of 9/11 » gang"
sergearuzeck,2020-04-21 22:24:53,"Portland, OR",OR,Oregon,Twitter Web App,,"In a small randomized control study, researchers in China found that HIV drug Kaletra and influenza drug Arbidol have no effect on patients with mild to moderately severe COVID-19 infections https://t.co/naSNg20oFo https://t.co/oQQaNQWyOj"
ladycat713,2020-04-21 22:24:53,Mississippi,MS,Mississippi,Twitter Web App,,"NEW: In interview w/me, CDC director warns second wave of coronavirus is likely to be worse because it will coincide with flu season. Look how overwhelmed health system is in this 1st covid-19 wave. Now imagine 2 respiratory outbreaks at the same time. https://t.co/ftPnleE4VP"
mdesenne,2020-04-21 22:24:53,Arlington VA,VA,Virginia,Twitter for iPhone,,New data show that some states that are easing distancing and stay-at-home orders have larger shares for adults at risk for serious cases of COVID-19. - https://t.co/UFvkRQXrN5
LipaSchmeltzer,2020-04-21 22:24:53,Pomona Hights NY,NY,New York,Twitter for iPhone,,My friend who lost his father due to Covid 19 is asking people to put on Tefilin in honor of Father. https://t.co/e5CjETmaAy https://t.co/4bxpmWr4Ve
easypost,2020-04-21 22:24:52,"San Francisco, CA",CA,California,Twitter Web App,"shopping, delivery, retail","Either way it may go online, but it also may just go away, and the money be spent on something else entirely. Our assumptions of how we buy but also what we buy are being reset. #shopping #delivery #retail https://t.co/qe2MFpeK3s (2/2)"
GlobalPHObserv,2020-04-21 22:24:52,Baltimore MD USA,MD,Maryland,TweetCaster for iOS,,"The scholar Nassim Nicholas Taleb, who says that his profession is “probability,” has long been alert to pandemics and other chance calamities for which COVID-19 is a storm signal.
https://t.co/s9HrYxVj84"
edgarr_541,2020-04-21 22:24:52,"New Brunswick, NJ",NJ,New Jersey,Twitter for iPhone,,Seniors apparently not impressed with Trump’s deadly incompetence on his covid response. https://t.co/ct9koCQrVu
SquireAriel,2020-04-21 22:24:52,"Pittsburgh, PA",PA,Pennsylvania,Twitter for Android,,"It blows my mind. We are at 75 days+ of dealing with COVID here in Vietnam,with 5 days of no new cases,and are sort of starting to hear about the possibilities of reopening things in the nearer future.Meanwhile other countries are like ""ok were below 1k deaths a day time to open"""
Jeri203,2020-04-21 22:24:52,"New Haven, CT",CT,Connecticut,Twitter for iPhone,,"Outside of NYC, COVID problem in USA is largely a nursing home epidemic. Long term care facilities are being wiped out in every state. Resources that could be used to protect most vulnerable in these places are diverted to maintaining a pointless healthy quarantine. Frustrating."
landmarkep,2020-04-21 22:24:52,"El Paso, TX",TX,Texas,Twitter Web App,,"With the disruption that COVID-19 has brought, projects may or may not be placed on hold. If you want to take advantage of this time to have your worksite properly managed and measured, we can provide. https://t.co/5fB8a8fKtp"
BeyoncaClark,2020-04-21 22:24:52,"Laurel, MD",MD,Maryland,Twitter for iPhone,,Everyone seeking to understand the extent of Trump’s botched response to COVID-19 must recognize that Trump wasted one of the country’s best weapons to fight a pandemic: The Strategic National Stockpile of protective equipment. https://t.co/5ABsuqCZnr
Ericajean74,2020-04-21 22:24:51,"Oregon, USA",OR,Oregon,Twitter for Android,,"""So It Was a Hoax?"" - Fox News' John Roberts Caught on Hot Mic Discussing COVID-19 Mortality Rate with Technician, 'Like the Flu' (VIDEO) https://t.co/xQs4FzmqAv via @gatewaypundit"
rickytaylor22,2020-04-21 22:24:51,"Hickory, NC",NC,North Carolina,Twitter Web App,,"So why the surge in USA deaths today?

Simple, new CDC guidelines gave hospitals carte blanche to code any sniffle as COVID-19 with no testing required. They get paid a fortune for COVID-19 cases.

Follow the money.

The numbers are fiction."
EricMillerFink,2020-04-21 22:24:51,"Tucson, AZ",AZ,Arizona,Twitter Web App,,"Thanks for your time today, @ElissaJ85. Here why @FWDus is concerned about a big spike in Covid cases among our inmates. Why the organization and the wife of one inmate are pleading with @dougducey to do more to reduce the prison population coming up at 6. @KVOA"
RevMindi,2020-04-21 22:24:51,"Seattle, WA",WA,Washington,TweetDeck,,"I'm wiped out. Just exhausted. Tired of arguing with friends and family who think the US is overreacting, just heard in the last 24 hours of two clergy colleagues who are positive for Covid and one is critical."
Sandsscc1,2020-04-21 22:24:51,"Texas, USA",TX,Texas,Twitter Web App,"LIVE, COVID",#LIVE: President Trump and the #COVID-19 Task Force Briefing https://t.co/OBF7884CS6
jddreno,2020-04-21 22:24:50,"Central City, KY",KY,Kentucky,Twitter for iPhone,,"As best I can understand, this is where we’re at:

-Trump refuses to organize a COVID response bc he says it’s up to states and hospitals

-But he opposes funding for states

-And when funding is approved for hospitals, it’s a “concession” to Democrats

Do I have that right?"
TDean559,2020-04-21 22:24:50,"Washington, USA",WA,Washington,Twitter Web App,,"....to State/Local Governments for lost revenues from COVID 19, much needed Infrastructure Investments for Bridges, Tunnels, Broadband, Tax Incentives for Restaurants, Entertainment, Sports, and Payroll Tax Cuts to increase Economic Growth."
jlanderson1977,2020-04-21 22:24:50,"Midland, TX",TX,Texas,Twitter for iPhone,,"We were told the hospitals would be overwhelmed by the COVID surge. Instead, Congress is rushing to bail out the hospitals because they're going bankrupt due to lack of patients."
Carriepugh,2020-04-21 22:24:50,"Washington, DC",WA,Washington,Twitter for iPhone,COVID,"We need you to be part of this conversation! What is the impact of #COVID-19 on educators, students and equity? Join me @SenWarren @marclamonthill and others  for a virtual town hall powered by @NAACP &amp; @BET This Wednesday 7 PM ET #Educolor #EdJustice https://t.co/PlUIZONTkX https://t.co/WbUq2mbjlA"
PatrickC_Esq,2020-04-21 22:24:50,"Washington, DC",WA,Washington,Twitter for iPhone,,“COVID-19 does not operate on a fiscal calendar. We have to look at 14-day trend lines in symptoms and new cases to find a consistent downward slope before we fully re-open business as usual.” - @mayorcantrell
marylinjenkins,2020-04-21 22:24:50,"Marana, AZ",AZ,Arizona,Twitter for iPhone,,"As best I can understand, this is where we’re at:

-Trump refuses to organize a COVID response bc he says it’s up to states and hospitals

-But he opposes funding for states

-And when funding is approved for hospitals, it’s a “concession” to Democrats

Do I have that right?"
PatrickLeBoo,2020-04-21 22:24:50,"Texas, USA",TX,Texas,Twitter for iPhone,,@KBrassenstein @redsteeze This is COVID country!
wreidlr,2020-04-21 22:24:50,"Harrisonburg, VA",VA,Virginia,Twitter for Android,,"My heart earnestly goes out to the people of Florida, Georgia, South Carolina and Tennessee. You've been lied to about the prevalence, contagiousness, and lethality of COVID-19 by state officials acting for their own political profit. You're headed for a major outbreak. #StayHome https://t.co/3D7wjagDpb"
CherylSubler,2020-04-21 22:24:50,Ohio,OH,Ohio,Twitter Web Client,,"Multiple inmates, officers test positive for COVID-19 at Lucas County Jail https://t.co/awGxWALgry"
KCDavisAZ,2020-04-21 22:24:49,"Queen Creek, AZ",AZ,Arizona,Twitter for Android,,"This is a photo of President Johnson in 1968 about the time American deaths in Vietnam reached 40,000, the number of Americans dead so far from COVID-19. https://t.co/KU1Gbb9Byf"
MNAtSports,2020-04-21 22:24:49,"Mitchell, SD",SD,South Dakota,Twitter for iPhone,"FlattenTheCurve, COVID","We must work together to #FlattenTheCurve. The @CDCgov tells us how long #COVID-19 can survive on surfaces and in the air. 📽️⬇️

Find other important resources at https://t.co/Vxg8pGAAIE https://t.co/5FpJoBatrE"
TomMcGuinness,2020-04-21 22:24:49,Derry NH,NH,New Hampshire,Twitter for Android,,"Fox News heavily promoted the use of this drug — nearly 300 times in a two week period https://t.co/nK7HFnXGzw

You can find a comprehensive guide of how Fox News hyped this drug and brought it to Trump’s attention here: https://t.co/nBc7oT0BqW https://t.co/xJfmSTAPre"
tessady,2020-04-21 22:24:49,California,CA,California,Twitter Web App,,"Fox News heavily promoted the use of this drug — nearly 300 times in a two week period https://t.co/nK7HFnXGzw

You can find a comprehensive guide of how Fox News hyped this drug and brought it to Trump’s attention here: https://t.co/nBc7oT0BqW https://t.co/xJfmSTAPre"
gobilamako,2020-04-21 22:24:48,"Poway, CA",CA,California,Twitter for Android,,"States are now ADDING people to Coronavirus death tolls who NEVER tested positive for COVID-19.

There will be a spike in numbers this week because OLD deaths are being RECLASSIFIED.

They'll use this to scare us. They're desperate to make this look bad.

It's time to protest."
mitchellhirsch,2020-04-21 22:24:48,Connecticut,CT,Connecticut,Twitter for Android,,Smithfield Foods Is Blaming “Living Circumstances In Certain Cultures” For One Of America’s Largest COVID-19 Clusters https://t.co/JHF7dQbGE3 via @albertsamaha
JJCarlsonEsq,2020-04-21 22:24:48,"Los Angeles, CA",CA,California,Twitter Web App,HCQ,"@ddiamond Everyone overlooks 3 important facts from VA study: The need for VENTS cut in half by #HCQ + AZ; The patients were 65+ mostly black and all male; VA is KILLING VETERANS by giving them only HCQ to treat SEVERE COVID when that calls for Actrema or Remdesivir, not HCQ. @VoteVets"
JeaniefaetroonJ,2020-04-21 22:24:48,Texas,TX,Texas,Twitter Web App,,"If half of all US COVID-19 deaths were in Wyoming, would NYC be willing to shut down?"
mariahhblank,2020-04-21 22:24:48,"Kansas, USA",KS,Kansas,Twitter for iPhone,,"We made these masks at a different time and for a different reason. Now that the world has changed, there is an even greater purpose that they can contribute to. Head to the @MCRofficial merch page for details. All proceeds go to MusicCares Covid 19 Relief Fund. https://t.co/5Sm2fdGE3g"
andybrwn,2020-04-21 22:24:48,"Stayworkcation, CA",CA,California,Twitter Web App,,"The nationwide study was not a rigorous experiment. But with 368 patients, it’s the largest look so far of hydroxychloroquine with or without the antibiotic azithromycin for COVID-19, which has killed more than 171,000 people as of Tuesday. https://t.co/expnXaJfxZ via @HuffPost"
joe_nuzz,2020-04-21 22:24:48,USA,,,Twitter for Android,,"WA state: UW Medicine Virology Lab launched COVID-19 ab testing on Tues (4/21) &amp; has capacity for 1000s of tests/day w Abbott assay it found “highly sensitive &amp; specific”
https://t.co/vEVoxGKBGe"
tristeenaboccio,2020-04-21 22:24:48,"Lynbrook, NY",NY,New York,Twitter for iPhone,JERSEY4JERSEY,"Tune in April 22 for #JERSEY4JERSEY, a one-night broadcast fundraiser to fight the medical, social and economic impact of COVID-19 on New Jersey’s most vulnerable communities with appearances from Bruce, @jonbonjovi, @halsey, @itstonybennett &amp; more. https://t.co/JyGthYCLZp"
NancyYoungblut,2020-04-21 22:24:47,"Pasadena, CA",CA,California,Twitter Web App,"ToothFairy, SiouxCity","""Why, it must be a #ToothFairy infecting people in #SiouxCity! Why'd we do this? Nasty little tooth fairies are mostly unemployed delivering quarters right now, so they are coming into households &amp; depositing #Covid_19!"" Sez @TysonFoods. #IaPolitics https://t.co/zWPCsRuQNl"
TBMento,2020-04-21 22:24:47,"San Diego, CA",CA,California,TweetDeck,,"UT's Paul Sisson asks about the cities of residence for patients who are in Chula Vista hospitals, which is seeing a large volume of COVID patients. McDonald says 95% of individuals that they have been able to identify are US citizens."
CaucusOf,2020-04-21 22:24:46,"Delaware, USA",DE,Delaware,Twitter Web App,,Good move - some governors are gong too far - using COVID-19 to be authoritarians! https://t.co/crEXE0bsyu
Mattie20871184,2020-04-21 22:24:46,"Illinois, USA",IL,Illinois,Twitter for iPhone,,The COVID-19 relief bill set aside $8 billion for Native tribes. Corporations could get half. https://t.co/WElE7H4UC5
UnisoyJerky,2020-04-21 22:24:45,"Los Angeles, CA",CA,California,Hootsuite Inc.,unisoyjerky,"Our Earth Day newsletter is coming out tomorrow with a special bonus offer! Sign up—link in bio—or visit https://t.co/cw6uHaCpCA While Covid-19 presents serious challenges, we want to remind you to love yourself, love the planet and love sustainable snacking! #unisoyjerky https://t.co/Hb8T2r34ZG"
Frances_Larina,2020-04-21 22:24:45,"Northern California, USA",,,Twitter Web Client,,"Remember that tabletop superfast test trump touted on his daily campaign rally television show?
Yeah, turns out it has a really bad false-negative rate (ie showing infected people are not infected)
https://t.co/NCx0zPOWAv"
Dreadrend,2020-04-21 22:24:45,TN,TN,Tennessee,Twitter Web App,,"My heart earnestly goes out to the people of Florida, Georgia, South Carolina and Tennessee. You've been lied to about the prevalence, contagiousness, and lethality of COVID-19 by state officials acting for their own political profit. You're headed for a major outbreak. #StayHome https://t.co/3D7wjagDpb"
ldylkngb,2020-04-21 22:24:45,"Ohio, USA",OH,Ohio,Twitter Web App,,@DMW_JD2014 @funder My sis just returned to work at a nursing home. She had lots of questions for her supervisors and they seem to lie and minimize the situation... only for her to end up having 6 patients under her care with covid-19. Something’s wrong w/ the way some employees are being treated.
kcorb0427,2020-04-21 22:24:45,"Delaware, USA",DE,Delaware,Twitter for iPhone,,@Brash_1 My daughter sent me this...what is this job all about? Are they tracking Covid patients? https://t.co/dDbCQEfYWw
TheresaDamrow,2020-04-21 22:24:45,"Janesville, WI",WI,Wisconsin,Twitter for Android,,"As of 10:00am, data on https://t.co/PNbeRzUMm4 shows total # of COVID-19 patients is down 83 over past 7 days &amp; inpatients with COVID-19 test pending is down 36. 

We’re trending in the right direction, so why is WI closed until Memorial Day weekend?!? This is not logical. https://t.co/fzLyhKDtQ4"
ivdailybulletin,2020-04-21 22:24:44,"Ontario, CA",CA,California,SocialFlow,,"Gov. Newsom on COVID-19 increases: ‘If we pull back too quickly, those numbers will go through the roof’ https://t.co/Y0pP9FwmAU"
lilianncortezz,2020-04-21 22:24:44,Texas,TX,Texas,Twitter for Android,,Covid-19 sucks ass! 😓💔
NoStrife,2020-04-21 22:24:44,"Medford, OR",OR,Oregon,Twitter for Android,,"""NIH Panel Recommends Against Drug Combination Trump Has Promoted For COVID-19""
https://t.co/eUlBuN3zrP"
ValerieJWood,2020-04-21 22:24:44,"West of Baltimore, MD",MD,Maryland,Twitter Web App,,GOP senator who pushed 'miracle' drug to treat coronavirus rejects study showing it actually may lead to increased deaths https://t.co/UXnY0kJ2en
dembigmouthdems,2020-04-21 22:24:44,"Texas, USA",TX,Texas,Twitter for Android,"WhiteHousePressBriefing, Covid","Hot mic catches off record convo before #WhiteHousePressBriefing . Casual chat on actual 0.1 - 0.3% #Covid-19 mortality rate and mention of an undisclosed vaccine being administered. This is a pretty intriguing video, to say the least!

Ends with laughter over possible hoax. https://t.co/FAEOhIble5"
Real_Taneeka,2020-04-21 22:24:44,"Columbia, Maryland",MD,Maryland,Twitter for Android,,"MD courts have suspended evictions &amp; foreclosures during this crisis, but many residents unfortunately still owe rent payments for this period. Today is the 1st of the month, and I know this cost weighs heavily on those who are struggling due to COVID. https://t.co/Mafo9fJkYk"
mortgageconsult,2020-04-21 22:24:44,"Maryland, USA",MD,Maryland,Twitter for Android,,"Gov. Cuomo describes 'wave of guilt' after conversation with his daughters

https://t.co/VQsazsEwWQ"
Johnnie1957golf,2020-04-21 22:24:44,Texas,TX,Texas,Twitter for iPhone,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
Retired1Douglas,2020-04-21 22:24:44,"North Carolina, USA",NC,North Carolina,Twitter for Android,,GOP senator who pushed 'miracle' drug to treat coronavirus rejects study showing it actually may lead to increased deaths https://t.co/UXnY0kJ2en
AnonIncarnation,2020-04-21 22:24:43,"Michigan, USA",MI,Michigan,Twitter for Android,,Can COVID-19 be spread by mosquitos?
RickCookson,2020-04-21 22:24:43,"St Charles, MO",MO,Missouri,Twitter Web App,,I broke down COVID numbers—NY vs US: “The crisis in the United States is largely a New York City crisis. One reason why many governors are afraid to fully reopen is over the fear that virus-carrying New Yorkers will flee to their...states.” https://t.co/ArWp2YEXDJ
ctrannnnnn,2020-04-21 22:24:43,"Atlanta, GA",GA,Georgia,Twitter for iPad,,"It blows my mind. We are at 75 days+ of dealing with COVID here in Vietnam,with 5 days of no new cases,and are sort of starting to hear about the possibilities of reopening things in the nearer future.Meanwhile other countries are like ""ok were below 1k deaths a day time to open"""
Dogfairy8429,2020-04-21 22:24:43,"Canton, Georgia",GA,Georgia,Twitter for iPhone,,"@littlenewsnetwk @MichaelCoudrey Epoch times covid documentary also states this.
https://t.co/iaJRXJAjdV"
awwsukisuki,2020-04-21 22:24:43,"Charlotte, NC",NC,North Carolina,Twitter for iPhone,,"Some people will never have even been infected by or shown symptoms of Covid-19, but their neglected illnesses must be accounted for when taking stock of coronavirus' devastating toll on our society, write Andrew Y. Chang and Michele Barry for @CNNOpinion https://t.co/qdss27lX2a"
BrianEntin,2020-04-21 22:24:43,"Miami, FL",FL,Florida,Twitter Web App,,"Latest Florida reported COVID-19 cases:

-27869 total cases (up from 27495 this morning)
-4226 hospital admissions (up from 4063)
-867 deaths (up from 839)
-10056 in Dade (up from 9840)
-4168 in Broward (up from 4149)
-2320 in Palm Beach (up from 2296)"
infinity_scout,2020-04-21 22:24:42,"Middlesex, NJ",NJ,New Jersey,Twitter for iPad,,GOP senator who pushed 'miracle' drug to treat coronavirus rejects study showing it actually may lead to increased deaths https://t.co/UXnY0kJ2en
Steverino247,2020-04-21 22:24:42,Somewhere in California,CA,California,Twitter Web App,,@TheLeadCNN @jaketapper @EricaRHill Look at the damned map: https://t.co/7hm4OrCcDi
cmitchell75,2020-04-21 22:24:42,"Camden, TN",TN,Tennessee,Twitter for iPhone,,"So why the surge in USA deaths today?

Simple, new CDC guidelines gave hospitals carte blanche to code any sniffle as COVID-19 with no testing required. They get paid a fortune for COVID-19 cases.

Follow the money.

The numbers are fiction."
desie_genovese,2020-04-21 22:24:42,"Gastonia, NC",NC,North Carolina,Twitter for iPhone,,"This is a horrible tragedy for this young girl’s family. 
That said, any person who succumbs from a rare type of meningitis, did not die from Covid-19. That is not one of the symptoms of #coronavirus 
This madness needs to stop. 

Time to get back to work.
https://t.co/yvdIn8yvqu"
CIDNEWS,2020-04-21 22:24:42,Connecticut,CT,Connecticut,Twitter Web App,,"The Department puts life insurers on notice: Any life insurance application form filed for review should not include applicant questions related to COVID-19 or it will be denied. @MaisCTinsurComm
https://t.co/J7UfXjICj3"
